dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mask_token,protect_lrm,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,best_transfer,best_peeking,best_addition,best_ens_addition,val_at_best_transfer,val_at_best_peeking,val_at_best_addition,val_at_best_ens_addition,stage0_checkpoint,shote2e_checkpoint
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,61.27,50.52,63.75,63.85,63.88,38.29,67.59,65.94,52.12,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,61.27,51.87,62.81,63.81,63.51,40.54,67.29,65.23,52.89,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,50.56,63.76,63.80,64.28,37.72,68.19,67.64,51.84,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,52.43,63.80,63.86,63.83,39.58,67.60,66.52,51.66,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,50.50,64.09,64.13,64.53,37.99,68.34,67.45,52.38,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,50.63,63.76,63.81,64.20,37.57,68.24,67.35,52.44,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,51.17,63.99,64.12,62.32,37.09,67.78,66.49,51.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,50.89,63.80,63.86,64.63,37.78,67.87,66.82,51.60,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,53.16,63.42,63.51,63.80,38.51,68.46,67.36,52.16,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,61.27,47.44,63.77,63.74,63.44,35.71,66.79,64.89,50.23,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,49.36,63.27,63.68,64.54,35.93,67.21,66.02,50.94,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.50,63.77,63.74,63.92,37.77,67.24,66.23,51.15,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,48.83,63.12,63.70,64.56,36.50,67.43,65.81,50.89,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,44.60,63.89,63.95,63.54,35.09,67.61,66.15,49.78,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,61.27,46.09,62.29,62.62,60.84,35.07,66.62,64.65,49.37,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,215473190,latent+prefusion+distill+ce,False,False,3,cross,12,mAP,61.27,46.08,62.11,62.99,62.84,36.41,67.06,56.81,46.09,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,61.27,44.03,62.80,62.94,63.06,35.08,67.64,66.39,50.18,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,215473190,latent+prefusion+distill+ce,False,False,3,cross,12,mAP,61.27,46.28,62.54,61.20,62.63,35.06,66.91,55.57,45.14,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,49.23,52.79,51.45,52.36,53.82,36.50,54.76,50.25,43.37,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,49.24,51.39,51.23,51.60,53.69,36.33,54.91,51.32,43.83,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,49.23,51.61,50.53,51.04,53.74,35.25,53.92,50.79,42.83,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,49.24,50.61,50.12,50.69,53.27,36.20,53.79,50.61,43.40,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,49.24,49.77,50.82,50.35,53.39,35.20,53.66,50.67,42.86,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,49.24,51.02,51.47,49.02,52.47,33.83,54.17,50.67,41.93,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,49.24,50.76,50.90,50.24,53.05,34.08,53.91,50.64,41.82,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,49.24,49.51,50.84,50.27,52.06,34.86,53.41,50.19,42.52,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,49.23,51.38,51.77,51.40,54.65,38.24,53.79,52.24,45.24,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,49.23,49.33,50.93,50.06,51.63,33.82,53.60,51.50,42.53,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,49.24,50.41,51.05,49.89,52.78,35.94,54.33,50.77,43.35,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,49.23,49.21,51.11,49.19,51.00,34.90,53.58,50.68,42.79,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,49.24,50.00,49.07,49.58,52.31,36.49,54.31,51.32,43.91,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,49.24,50.03,51.29,50.08,51.80,34.16,53.46,50.79,41.92,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,49.24,48.23,50.65,49.64,52.68,35.65,53.43,50.61,42.51,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,215473190,latent+prefusion+distill+ce,False,False,3,cross,12,mAP,49.24,48.80,49.68,52.88,53.24,35.64,54.74,45.51,40.08,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,49.24,49.84,49.95,49.85,52.58,35.41,54.58,51.42,42.49,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,49.24,48.45,50.47,48.80,51.81,33.98,54.09,50.79,42.29,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,215473190,latent+prefusion+distill+ce,False,False,3,cross,12,mAP,49.24,50.08,49.91,53.98,53.85,35.31,55.08,45.05,40.18,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,215473190,latent+prefusion+distill+ce,False,False,3,cross,12,mAP,49.24,48.74,50.69,52.35,50.99,33.57,53.88,43.20,38.05,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,61.27,52.53,63.43,63.64,64.09,39.81,67.89,66.26,52.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,61.27,49.21,62.73,62.96,63.57,38.25,67.58,66.16,52.20,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,51.67,62.90,63.11,64.23,37.80,67.79,66.71,52.11,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,130400294,latent+prefusion+distill+ce,False,False,3,cross,0,mAP,61.27,51.82,63.12,64.06,64.08,38.92,67.43,65.96,52.13,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,51.27,63.59,63.68,64.04,38.51,67.72,67.01,52.14,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137489702,latent+prefusion+distill+ce,False,False,3,cross,1,mAP,61.28,51.92,62.83,63.94,63.96,37.87,67.65,66.71,51.50,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,53.67,63.80,63.86,64.24,38.84,67.59,66.98,52.74,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,50.09,63.96,64.45,64.32,37.94,68.26,65.08,51.31,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,52.20,63.25,63.36,63.82,38.36,67.66,66.34,51.51,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.76,63.78,63.88,64.33,37.03,67.65,66.59,51.31,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,144579110,latent+prefusion+distill+ce,False,False,3,cross,2,mAP,61.28,51.15,64.01,64.04,63.88,37.78,68.12,67.27,51.20,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.72,63.03,63.84,63.79,38.57,67.44,66.53,51.66,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,158757926,latent+prefusion+distill+ce,False,False,3,cross,4,mAP,61.28,48.77,63.76,63.83,63.20,37.47,67.28,66.17,50.53,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,158757926,latent+prefusion+distill+ce,False,False,3,cross,4,mAP,61.28,51.69,62.82,62.94,63.90,37.25,67.41,66.36,50.54,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,165847334,latent+prefusion+distill+ce,False,False,3,cross,5,mAP,61.27,49.84,63.40,63.47,63.64,36.36,67.54,66.66,51.41,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,165847334,latent+prefusion+distill+ce,False,False,3,cross,5,mAP,61.27,48.81,63.40,63.42,63.90,36.62,67.00,66.33,51.27,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,41.56,62.91,63.08,63.59,34.92,67.16,65.82,49.69,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,180026150,latent+prefusion+distill+ce,False,False,3,cross,7,mAP,61.27,47.97,63.21,63.48,61.80,36.59,66.79,64.32,49.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,165847334,latent+prefusion+distill+ce,False,False,3,cross,5,mAP,61.27,48.93,63.45,63.51,63.97,35.95,67.72,66.94,49.93,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,46.25,63.31,63.23,63.24,36.90,67.29,66.40,51.65,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,172936742,latent+prefusion+distill+ce,False,False,3,cross,6,mAP,61.27,47.93,63.60,63.65,63.98,36.14,66.99,65.92,50.61,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,180026150,latent+prefusion+distill+ce,False,False,3,cross,7,mAP,61.27,46.55,63.73,63.75,62.92,34.69,67.21,65.63,48.98,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,187115558,latent+prefusion+distill+ce,False,False,3,cross,8,mAP,61.28,45.88,62.63,62.68,63.00,34.70,67.09,64.63,48.62,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,187115558,latent+prefusion+distill+ce,False,False,3,cross,8,mAP,61.28,45.13,63.34,63.51,63.03,35.36,66.96,65.52,50.17,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,187115558,latent+prefusion+distill+ce,False,False,3,cross,8,mAP,61.28,47.84,63.54,62.87,64.21,34.87,67.06,65.52,49.90,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,201294374,latent+prefusion+distill+ce,False,False,3,cross,10,mAP,61.27,45.59,61.69,61.96,62.54,34.82,66.58,64.15,49.49,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,208383782,latent+prefusion+distill+ce,False,False,3,cross,11,mAP,61.27,45.55,63.54,63.51,62.04,36.06,67.76,67.08,51.07,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,194204966,latent+prefusion+distill+ce,False,False,3,cross,9,mAP,61.27,46.32,62.85,62.93,64.04,34.03,67.02,65.38,48.73,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,208383782,latent+prefusion+distill+ce,False,False,3,cross,11,mAP,61.27,45.95,62.81,62.86,62.56,34.71,67.33,65.18,49.41,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
