model_type,teacher_modality,student_modalities,train_mode,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s1,s1+s2_rgb,fft,0.0001,0.0001,146676744,64,False,mIoU,60.94,50.13,49.05,49.27,49.83,21,88.59,49.66,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s1,s1+s2_rgb,fft,0.0005,0.0001,146676744,64,False,mIoU,60.94,50.13,49.05,49.77,50.80,38,88.92,49.69,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0.0005,0.0001,146676744,64,False,mIoU,65.75,59.60,59.01,58.14,58.27,50,91.28,58.26,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.0001,146676744,64,False,mIoU,65.75,59.60,59.01,57.97,57.97,45,91.19,57.63,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt
evan_base,s1,s1+s2_norgb,fft,0.0005,0.0001,148053000,64,False,mIoU,60.94,50.13,49.05,50.18,50.86,21,88.78,50.32,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s1,s1+s2_norgb,fft,0.0001,0.0001,148053000,64,False,mIoU,60.94,50.13,49.05,50.84,51.19,23,88.87,50.37,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0005,0.0001,148249608,64,False,mIoU,65.75,59.60,59.01,58.95,59.04,53,91.49,58.91,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0001,0.0001,148249608,64,False,mIoU,65.75,59.60,59.01,59.16,59.19,62,91.38,58.92,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt
evan_base,s2_norgb,s2_norgb+s1,fft,0.0005,0.0001,148053000,64,False,mIoU,67.35,63.95,63.59,62.51,62.69,54,94.33,62.47,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0.0001,0.0001,148249608,64,False,mIoU,67.35,63.95,63.59,62.13,62.37,62,94.37,62.26,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt
evan_base,s2_norgb,s2_norgb+s1,fft,0.0001,0.0001,148053000,64,False,mIoU,67.35,63.95,63.59,62.66,62.74,56,94.45,62.37,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0.0005,0.0001,148249608,64,False,mIoU,67.35,63.95,63.59,62.33,62.55,59,94.39,62.31,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt
evan_base,s1,s1+s2,fft,0.0001,0.0001,148642824,64,False,mIoU,60.94,50.13,49.05,49.73,51.61,9,88.90,50.34,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s1,s1+s2,fft,0.0005,0.0001,148642824,64,False,mIoU,60.94,50.13,49.05,50.71,51.21,35,88.86,50.51,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt
evan_base,s2,s2+s1,fft,0.0005,0.0001,148642824,64,False,mIoU,68.14,64.12,63.63,62.69,62.86,57,93.92,62.82,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt
evan_base,s2,s2+s1,fft,0.0001,0.0001,148642824,64,False,mIoU,68.14,64.12,63.63,62.88,62.97,48,94.01,62.81,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0001_20260913_201635.pt
