wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance,regression_distill_mask,regression_huber_beta
eli7zc9t,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223227906,latent+prefusion+distill+ce,transfer,-30.71,-49.70,-51.27,-52.59,-25.49,-48.58,-28.15,-49.63,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,benv2_transfer_lr0.0005_ep128_tpool,teacher,none,,
07m4dd5b,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,45.31,0.0005,,0.0002,128,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,222441474,latent+prefusion+distill+ce,addition,-22.82,-47.09,-44.12,-44.69,-15.71,-44.70,-19.26,-45.11,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,benv2_addition_lr0.0005_ep128_tpool,teacher,none,,
fvhd0cei,delulu-biomassters-pairs,biomassters,s2,s1,43.57,0.0005,,0.0002,128,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223227906,latent+prefusion+distill+ce,addition,-34.11,-51.25,-45.77,-46.04,-20.55,-45.10,-27.42,-46.55,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,benv2_addition_lr0.0005_ep128_tpool,teacher,none,,
bq69v40t,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223227906,latent+prefusion+distill+ce,peeking,-31.57,-49.98,-51.11,-52.45,-24.58,-48.23,-28.15,-49.72,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,benv2_peeking_lr0.0005_ep128_tpool,teacher,none,,
h9t4qypx,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,45.31,0.0005,,0.0002,128,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,222441474,latent+prefusion+distill+ce,transfer,-22.78,-46.63,-49.87,-49.63,-23.10,-46.89,-22.96,-47.17,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,benv2_transfer_lr0.0005_ep128_tpool,teacher,none,,
8jqy03tw,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,45.31,0.0005,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,222441474,latent+prefusion+distill+ce,transfer,-21.09,-46.21,-44.56,-45.07,-17.24,-45.07,-19.17,-45.15,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,dfc2020_transfer_lr0.0005_ep128_tpool,teacher,none,,
ls4osgha,delulu-biomassters-pairs,biomassters,s2_norgb,s2_rgb,44.15,0.0005,,0.0002,128,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,222441474,latent+prefusion+distill+ce,addition,-24.62,-47.11,-45.28,-45.60,-20.05,-45.81,-22.35,-45.45,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,benv2_addition_lr0.0005_ep128_tpool,teacher,none,,
8qskm092,delulu-biomassters-pairs,biomassters,s2,s1,43.57,0.0005,,0.0002,128,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,223227906,latent+prefusion+distill+ce,transfer,-34.67,-52.04,-50.53,-51.03,-29.31,-49.57,-32.40,-49.90,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,benv2_transfer_lr0.0005_ep128_tpool,teacher,none,,
qknl8c88,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,45.31,0.0005,,0.0002,128,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,222441474,latent+prefusion+distill+ce,peeking,-21.87,-46.44,-44.30,-44.88,-15.29,-44.77,-18.58,-44.94,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,benv2_peeking_lr0.0005_ep128_tpool,teacher,none,,
dxy43aew,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,223227906,latent+prefusion+distill+ce,peeking,-30.11,-49.14,-46.97,-48.14,-22.24,-47.65,-26.98,-46.61,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,dfc2020_peeking_lr0.0005_ep128_tpool,teacher,none,,
84d2hitj,delulu-biomassters-pairs,biomassters,s2_rgb,s2_norgb,45.31,0.0005,,0.0002,128,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,False,0.513624371369526,0.6964960626741188,0.23428736523557417,0.5441254268098721,222441474,latent+prefusion+distill+ce,peeking,-20.74,-45.94,-44.80,-45.15,-18.62,-45.15,-19.68,-44.97,checkpoints/sft_evan_base_biomassters_s2_rgb_fft_lr0.0005_20260919_122434.pt,0,dfc2020_peeking_lr0.0005_ep128_tpool,teacher,none,,
hw75vtoo,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.19204151411631665,0.2962762513283972,0.13716154562150765,0.0,0.0,False,True,False,4.965477702593613,0.977788371387982,0.9790024746877884,0.42219102378847606,223227906,latent+prefusion+distill+ce,addition,-29.80,-48.89,-48.23,-49.51,-20.92,-46.86,-25.40,-47.51,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,benv2_addition_lr0.0005_ep128_tpool,teacher,none,,
l7gdhkz8,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,223227906,latent+prefusion+distill+ce,addition,-29.75,-48.53,-47.95,-49.23,-22.61,-47.50,-26.83,-48.48,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,dfc2020_addition_lr0.0005_ep128_tpool,teacher,none,,
7y9u9d0o,delulu-biomassters-pairs,biomassters,s1,s2,46.62,0.0005,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,223227906,latent+prefusion+distill+ce,transfer,-30.81,-49.87,-53.83,-54.90,-25.80,-48.20,-28.39,-50.72,checkpoints/sft_evan_base_biomassters_s1_fft_lr0.0005_20260919_125600.pt,0,dfc2020_transfer_lr0.0005_ep128_tpool,teacher,none,,
itbvzcpa,delulu-biomassters-pairs,biomassters,s2,s1,43.57,0.0005,,0.0002,128,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,223227906,latent+prefusion+distill+ce,peeking,-35.54,-52.80,-47.23,-47.65,-23.20,-46.69,-29.50,-48.18,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,benv2_peeking_lr0.0005_ep128_tpool,teacher,none,,
9kmp2dxn,delulu-biomassters-pairs,biomassters,s2,s1,43.57,0.0005,,0.0002,128,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,False,4.961765007115481,0.13275370738804138,0.8369287246181186,0.6448170007324399,223227906,latent+prefusion+distill+ce,transfer,-34.45,-51.48,-48.30,-48.63,-24.85,-47.58,-29.83,-48.18,checkpoints/sft_evan_base_biomassters_s2_fft_lr0.0005_20260919_125845.pt,0,dfc2020_transfer_lr0.0005_ep128_tpool,teacher,none,,
p5arvd4h,delulu-biomassters-pairs,biomassters,s2_norgb,s2_rgb,44.15,0.0005,,0.0002,128,0.3,0.30845712778638923,0.4420113792072863,0.08658832965970353,0.0,0.0,False,True,False,3.5466283896993387,0.1084318963041062,0.149070948559887,0.19819195164073455,222441474,latent+prefusion+distill+ce,peeking,-25.51,-47.85,-46.48,-46.81,-21.00,-46.19,-23.33,-46.43,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,benv2_peeking_lr0.0005_ep128_tpool,teacher,none,,
dhleg7lt,delulu-biomassters-pairs,biomassters,s2_norgb,s2_rgb,44.15,0.0005,,0.0002,128,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,False,2.1365588372995683,0.9688211858670964,0.7330845202244791,0.5652296073666779,222441474,latent+prefusion+distill+ce,addition,-24.68,-47.41,-46.24,-46.49,-20.34,-45.92,-22.59,-45.77,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,dfc2020_addition_lr0.0005_ep128_tpool,teacher,none,,
5mtograc,delulu-biomassters-pairs,biomassters,s2_norgb,s2_rgb,44.15,0.0005,,0.0002,128,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,False,2.207825784745205,0.2334707840238891,0.7029482002970043,0.7390832696189394,222441474,latent+prefusion+distill+ce,transfer,-25.95,-48.07,-48.29,-48.50,-24.73,-48.13,-25.52,-47.28,checkpoints/sft_evan_base_biomassters_s2_norgb_fft_lr0.0005_20260919_125803.pt,0,benv2_transfer_lr0.0005_ep128_tpool,teacher,none,,
